transaction_id,date,product_id,product_name,category,brand,store_id,region,city,units_sold,revenue,promotion_flag,stock_level,stockout_flag
T00001,2025-01-17,P105,Energy Drink,Beverage,PowerUp,S004,West,Mumbai,63,5670,False,34,False
T00002,2025-05-07,P102,Orange Soda,Beverage,FizzCo,S001,South,Hyderabad,169,5915,False,304,False
T00003,2025-05-10,P105,Energy Drink,Beverage,PowerUp,S003,North,Delhi,44,3960,False,200,False
T00004,2025-03-09,P102,Orange Soda,Beverage,FizzCo,S005,East,Kolkata,60,2100,False,329,False
T00005,2025-04-09,P103,Potato Chips,Snacks,Crunchy,S003,North,Delhi,52,1040,False,355,False
T00006,2025-01-12,P106,Biscuits,Bakery,BakeWell,S005,East,Kolkata,36,900,False,303,False
T00007,2025-05-07,P103,Potato Chips,Snacks,Crunchy,S001,South,Hyderabad,117,2340,False,271,False
T00008,2025-05-21,P105,Energy Drink,Beverage,PowerUp,S001,South,Hyderabad,125,11250,False,17,True
T00009,2025-04-09,P101,Cola 500ml,Beverage,FizzCo,S004,West,Mumbai,123,4920,False,146,False
T00010,2025-06-25,P103,Potato Chips,Snacks,Crunchy,S002,South,Bengaluru,27,540,False,187,False
T00011,2025-05-25,P102,Orange Soda,Beverage,FizzCo,S003,North,Delhi,44,1540,False,132,False
T00012,2025-02-11,P104,Salted Nuts,Snacks,Crunchy,S004,West,Mumbai,36,2160,False,333,False
T00013,2025-04-24,P105,Energy Drink,Beverage,PowerUp,S001,South,Hyderabad,92,8280,False,174,False
T00014,2025-05-26,P106,Biscuits,Bakery,BakeWell,S002,South,Bengaluru,43,1075,False,272,False
T00015,2025-04-26,P101,Cola 500ml,Beverage,FizzCo,S005,East,Kolkata,92,3680,True,312,False
T00016,2025-05-01,P103,Potato Chips,Snacks,Crunchy,S004,West,Mumbai,75,1500,False,183,False
T00017,2025-04-02,P104,Salted Nuts,Snacks,Crunchy,S001,South,Hyderabad,53,3180,True,261,False
T00018,2025-03-27,P106,Biscuits,Bakery,BakeWell,S003,North,Delhi,77,1925,False,253,False
T00019,2025-04-13,P104,Salted Nuts,Snacks,Crunchy,S001,South,Hyderabad,75,4500,False,241,False
T00020,2025-01-06,P103,Potato Chips,Snacks,Crunchy,S003,North,Delhi,101,2020,True,163,False
T00021,2025-01-07,P102,Orange Soda,Beverage,FizzCo,S005,East,Kolkata,25,875,False,367,False
T00022,2025-02-23,P103,Potato Chips,Snacks,Crunchy,S004,West,Mumbai,70,1400,False,313,False
T00023,2025-06-30,P104,Salted Nuts,Snacks,Crunchy,S003,North,Delhi,75,4500,False,128,False
T00024,2025-01-31,P103,Potato Chips,Snacks,Crunchy,S001,South,Hyderabad,148,2960,True,288,False
T00025,2025-05-10,P101,Cola 500ml,Beverage,FizzCo,S005,East,Kolkata,161,6440,True,198,False
T00026,2025-03-22,P101,Cola 500ml,Beverage,FizzCo,S002,South,Bengaluru,114,4560,False,252,False
T00027,2025-04-20,P103,Potato Chips,Snacks,Crunchy,S005,East,Kolkata,49,980,True,146,False
T00028,2025-06-14,P103,Potato Chips,Snacks,Crunchy,S004,West,Mumbai,96,1920,False,387,False
T00029,2025-02-17,P105,Energy Drink,Beverage,PowerUp,S002,South,Bengaluru,118,10620,False,294,False
T00030,2025-02-19,P101,Cola 500ml,Beverage,FizzCo,S001,South,Hyderabad,41,1640,False,182,False
T00031,2025-05-08,P102,Orange Soda,Beverage,FizzCo,S004,West,Mumbai,70,2450,False,218,False
T00032,2025-02-01,P103,Potato Chips,Snacks,Crunchy,S005,East,Kolkata,69,1380,False,287,False
T00033,2025-05-01,P103,Potato Chips,Snacks,Crunchy,S002,South,Bengaluru,82,1640,False,37,False
T00034,2025-04-28,P104,Salted Nuts,Snacks,Crunchy,S001,South,Hyderabad,98,5880,False,16,True
T00035,2025-02-02,P103,Potato Chips,Snacks,Crunchy,S001,South,Hyderabad,70,1400,True,70,False
T00036,2025-04-17,P105,Energy Drink,Beverage,PowerUp,S001,South,Hyderabad,214,19260,False,232,False
T00037,2025-03-22,P103,Potato Chips,Snacks,Crunchy,S004,West,Mumbai,140,2800,True,167,False
T00038,2025-03-29,P103,Potato Chips,Snacks,Crunchy,S004,West,Mumbai,72,1440,True,194,False
T00039,2025-03-21,P106,Biscuits,Bakery,BakeWell,S001,South,Hyderabad,77,1925,False,323,False
T00040,2025-02-18,P106,Biscuits,Bakery,BakeWell,S002,South,Bengaluru,104,2600,False,175,False
T00041,2025-02-21,P101,Cola 500ml,Beverage,FizzCo,S002,South,Bengaluru,132,5280,False,217,False
T00042,2025-01-26,P102,Orange Soda,Beverage,FizzCo,S003,North,Delhi,123,4305,True,268,False
T00043,2025-02-14,P104,Salted Nuts,Snacks,Crunchy,S004,West,Mumbai,92,5520,False,128,False
T00044,2025-01-20,P104,Salted Nuts,Snacks,Crunchy,S005,East,Kolkata,43,2580,False,14,True
T00045,2025-01-26,P104,Salted Nuts,Snacks,Crunchy,S003,North,Delhi,71,4260,False,184,False
T00046,2025-05-27,P106,Biscuits,Bakery,BakeWell,S002,South,Bengaluru,83,2075,False,116,False
T00047,2025-04-23,P104,Salted Nuts,Snacks,Crunchy,S005,East,Kolkata,45,2700,False,72,False
T00048,2025-01-30,P104,Salted Nuts,Snacks,Crunchy,S001,South,Hyderabad,116,6960,False,396,False
T00049,2025-01-28,P106,Biscuits,Bakery,BakeWell,S001,South,Hyderabad,94,2350,False,89,False
T00050,2025-06-11,P101,Cola 500ml,Beverage,FizzCo,S003,North,Delhi,30,1200,False,308,False
T00051,2025-03-02,P104,Salted Nuts,Snacks,Crunchy,S003,North,Delhi,119,7140,True,151,False
T00052,2025-02-17,P101,Cola 500ml,Beverage,FizzCo,S005,East,Kolkata,23,920,False,49,False
T00053,2025-01-13,P105,Energy Drink,Beverage,PowerUp,S005,East,Kolkata,55,4950,True,287,False
T00054,2025-06-08,P101,Cola 500ml,Beverage,FizzCo,S001,South,Hyderabad,216,8640,False,310,False
T00055,2025-02-27,P106,Biscuits,Bakery,BakeWell,S003,North,Delhi,91,2275,True,69,False
T00056,2025-02-11,P102,Orange Soda,Beverage,FizzCo,S001,South,Hyderabad,150,5250,False,48,False
T00057,2025-02-23,P104,Salted Nuts,Snacks,Crunchy,S005,East,Kolkata,89,5340,False,166,False
T00058,2025-02-06,P106,Biscuits,Bakery,BakeWell,S005,East,Kolkata,28,700,False,295,False
T00059,2025-05-30,P101,Cola 500ml,Beverage,FizzCo,S003,North,Delhi,44,1760,False,32,False
T00060,2025-03-13,P106,Biscuits,Bakery,BakeWell,S002,South,Bengaluru,70,1750,False,265,False
T00061,2025-02-26,P106,Biscuits,Bakery,BakeWell,S003,North,Delhi,48,1200,False,199,False
T00062,2025-01-05,P104,Salted Nuts,Snacks,Crunchy,S003,North,Delhi,130,7800,False,42,False
T00063,2025-05-11,P101,Cola 500ml,Beverage,FizzCo,S004,West,Mumbai,85,3400,False,66,False
T00064,2025-04-18,P102,Orange Soda,Beverage,FizzCo,S005,East,Kolkata,88,3080,False,186,False
T00065,2025-04-25,P105,Energy Drink,Beverage,PowerUp,S005,East,Kolkata,50,4500,True,100,False
T00066,2025-05-25,P103,Potato Chips,Snacks,Crunchy,S002,South,Bengaluru,96,1920,False,242,False
T00067,2025-06-18,P106,Biscuits,Bakery,BakeWell,S004,West,Mumbai,80,2000,False,47,False
T00068,2025-03-09,P106,Biscuits,Bakery,BakeWell,S003,North,Delhi,116,2900,False,346,False
T00069,2025-02-19,P103,Potato Chips,Snacks,Crunchy,S003,North,Delhi,55,1100,False,397,False
T00070,2025-05-16,P106,Biscuits,Bakery,BakeWell,S005,East,Kolkata,172,4300,True,26,False
T00071,2025-03-06,P101,Cola 500ml,Beverage,FizzCo,S001,South,Hyderabad,132,5280,False,369,False
T00072,2025-01-27,P106,Biscuits,Bakery,BakeWell,S005,East,Kolkata,48,1200,True,113,False
T00073,2025-03-24,P101,Cola 500ml,Beverage,FizzCo,S003,North,Delhi,30,1200,True,332,False
T00074,2025-01-10,P103,Potato Chips,Snacks,Crunchy,S003,North,Delhi,125,2500,False,157,False
T00075,2025-05-30,P102,Orange Soda,Beverage,FizzCo,S005,East,Kolkata,98,3430,False,317,False
T00076,2025-06-04,P104,Salted Nuts,Snacks,Crunchy,S001,South,Hyderabad,153,9180,True,94,False
T00077,2025-04-27,P104,Salted Nuts,Snacks,Crunchy,S005,East,Kolkata,90,5400,True,370,False
T00078,2025-04-05,P106,Biscuits,Bakery,BakeWell,S001,South,Hyderabad,30,750,False,20,True
T00079,2025-03-15,P106,Biscuits,Bakery,BakeWell,S004,West,Mumbai,29,725,False,320,False
T00080,2025-06-13,P102,Orange Soda,Beverage,FizzCo,S005,East,Kolkata,107,3745,False,311,False
T00081,2025-04-24,P104,Salted Nuts,Snacks,Crunchy,S004,West,Mumbai,152,9120,True,129,False
T00082,2025-04-04,P106,Biscuits,Bakery,BakeWell,S005,East,Kolkata,98,2450,False,154,False
T00083,2025-05-05,P104,Salted Nuts,Snacks,Crunchy,S002,South,Bengaluru,70,4200,True,66,False
T00084,2025-03-17,P104,Salted Nuts,Snacks,Crunchy,S002,South,Bengaluru,70,4200,False,146,False
T00085,2025-05-14,P102,Orange Soda,Beverage,FizzCo,S003,North,Delhi,79,2765,False,94,False
T00086,2025-02-23,P105,Energy Drink,Beverage,PowerUp,S005,East,Kolkata,105,9450,False,192,False
T00087,2025-05-20,P102,Orange Soda,Beverage,FizzCo,S003,North,Delhi,102,3570,False,195,False
T00088,2025-04-29,P102,Orange Soda,Beverage,FizzCo,S005,East,Kolkata,134,4690,False,253,False
T00089,2025-01-14,P102,Orange Soda,Beverage,FizzCo,S001,South,Hyderabad,199,6965,True,201,False
T00090,2025-06-05,P106,Biscuits,Bakery,BakeWell,S001,South,Hyderabad,83,2075,False,38,False
T00091,2025-04-23,P105,Energy Drink,Beverage,PowerUp,S003,North,Delhi,39,3510,False,289,False
T00092,2025-01-25,P106,Biscuits,Bakery,BakeWell,S005,East,Kolkata,60,1500,False,237,False
T00093,2025-03-22,P105,Energy Drink,Beverage,PowerUp,S005,East,Kolkata,99,8910,False,36,False
T00094,2025-02-15,P105,Energy Drink,Beverage,PowerUp,S003,North,Delhi,99,8910,True,246,False
T00095,2025-01-24,P104,Salted Nuts,Snacks,Crunchy,S001,South,Hyderabad,77,4620,False,271,False
T00096,2025-04-05,P105,Energy Drink,Beverage,PowerUp,S004,West,Mumbai,99,8910,False,196,False
T00097,2025-02-12,P104,Salted Nuts,Snacks,Crunchy,S001,South,Hyderabad,153,9180,True,288,False
T00098,2025-01-16,P103,Potato Chips,Snacks,Crunchy,S004,West,Mumbai,112,2240,False,309,False
T00099,2025-02-07,P105,Energy Drink,Beverage,PowerUp,S004,West,Mumbai,53,4770,False,326,False
T00100,2025-05-19,P104,Salted Nuts,Snacks,Crunchy,S002,South,Bengaluru,73,4380,False,125,False
T00101,2025-02-26,P101,Cola 500ml,Beverage,FizzCo,S005,East,Kolkata,34,1360,False,222,False
T00102,2025-03-21,P105,Energy Drink,Beverage,PowerUp,S002,South,Bengaluru,48,4320,False,221,False
T00103,2025-06-21,P106,Biscuits,Bakery,BakeWell,S002,South,Bengaluru,98,2450,False,55,False
T00104,2025-03-10,P104,Salted Nuts,Snacks,Crunchy,S005,East,Kolkata,104,6240,False,380,False
T00105,2025-03-18,P101,Cola 500ml,Beverage,FizzCo,S002,South,Bengaluru,136,5440,False,49,False
T00106,2025-01-23,P103,Potato Chips,Snacks,Crunchy,S003,North,Delhi,92,1840,False,4,True
T00107,2025-01-18,P103,Potato Chips,Snacks,Crunchy,S004,West,Mumbai,102,2040,False,387,False
T00108,2025-03-24,P102,Orange Soda,Beverage,FizzCo,S003,North,Delhi,71,2485,False,367,False
T00109,2025-05-14,P105,Energy Drink,Beverage,PowerUp,S003,North,Delhi,43,3870,False,17,True
T00110,2025-06-09,P105,Energy Drink,Beverage,PowerUp,S002,South,Bengaluru,43,3870,False,42,False
T00111,2025-05-01,P106,Biscuits,Bakery,BakeWell,S001,South,Hyderabad,86,2150,False,249,False
T00112,2025-01-17,P105,Energy Drink,Beverage,PowerUp,S005,East,Kolkata,60,5400,True,96,False
T00113,2025-06-04,P105,Energy Drink,Beverage,PowerUp,S005,East,Kolkata,54,4860,False,115,False
T00114,2025-04-29,P106,Biscuits,Bakery,BakeWell,S001,South,Hyderabad,56,1400,True,20,True
T00115,2025-06-27,P105,Energy Drink,Beverage,PowerUp,S005,East,Kolkata,60,5400,False,97,False
T00116,2025-01-11,P105,Energy Drink,Beverage,PowerUp,S005,East,Kolkata,32,2880,False,308,False
T00117,2025-06-03,P105,Energy Drink,Beverage,PowerUp,S005,East,Kolkata,202,18180,True,45,False
T00118,2025-01-23,P105,Energy Drink,Beverage,PowerUp,S003,North,Delhi,74,6660,False,252,False
T00119,2025-01-16,P106,Biscuits,Bakery,BakeWell,S003,North,Delhi,35,875,False,21,True
T00120,2025-02-04,P101,Cola 500ml,Beverage,FizzCo,S002,South,Bengaluru,93,3720,False,392,False
T00121,2025-05-16,P104,Salted Nuts,Snacks,Crunchy,S003,North,Delhi,31,1860,False,1,True
T00122,2025-01-08,P102,Orange Soda,Beverage,FizzCo,S005,East,Kolkata,61,2135,False,69,False
T00123,2025-03-09,P101,Cola 500ml,Beverage,FizzCo,S004,West,Mumbai,38,1520,False,236,False
T00124,2025-03-24,P104,Salted Nuts,Snacks,Crunchy,S004,West,Mumbai,107,6420,False,228,False
T00125,2025-03-22,P101,Cola 500ml,Beverage,FizzCo,S002,South,Bengaluru,148,5920,False,167,False
T00126,2025-04-15,P104,Salted Nuts,Snacks,Crunchy,S004,West,Mumbai,64,3840,False,376,False
T00127,2025-01-29,P101,Cola 500ml,Beverage,FizzCo,S003,North,Delhi,70,2800,False,365,False
T00128,2025-03-27,P101,Cola 500ml,Beverage,FizzCo,S001,South,Hyderabad,215,8600,True,111,False
